User,AllocNodes,AllocCPUS,Elapsed,
damirkul,1,20,2-08:00:02,
,1,20,2-08:00:03,
damirkul,2,64,5-00:00:28,
,1,32,5-00:00:29,
,1,1,5-00:00:28,
sjakymiw,1,1,02:14:43,
rbarret8,1,1,03:01:52,
sjakymiw,1,1,01:09:05,
sjakymiw,1,1,03:18:42,
hgandhi,1,12,00:00:05,
hgandhi,1,1,00:00:17,
mgholiza,2,8,00:00:01,
,1,4,00:00:01,
mgholiza,1,4,00:00:00,
,1,4,00:00:00,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:06,
,1,6,00:00:06,
mgholiza,1,6,00:00:03,
,1,6,00:00:03,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:04,
,1,6,00:00:04,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:03,
,1,6,00:00:03,
mgholiza,1,6,00:00:02,
,1,6,00:00:02,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mchakra2,1,1,02:04:02,
mgholiza,1,6,00:00:06,
,1,6,00:00:06,
mgholiza,1,6,00:00:02,
,1,6,00:00:02,
mgholiza,1,6,00:01:40,
mgholiza,1,6,00:00:02,
,1,6,00:00:02,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:02,
,1,6,00:00:02,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:00,
,1,6,00:00:00,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
mgholiza,1,6,00:00:01,
,1,6,00:00:01,
oakif,2,2,00:05:27,
oakif,2,16,00:01:37,
rbarret8,1,1,02:41:20,
oakif,1,1,00:00:12,
oakif,1,1,00:01:44,
oakif,2,2,00:38:43,
oakif,2,2,00:02:05,
oakif,1,1,00:00:17,
